#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,10.000000000000009,-540029.1786307334,102030.03125,-437999.1473807334,302.25476036701025,401.2736041541896,1.0078777598532018
10000,19.999999999999794,-540702.0333570573,101286.265625,-439415.76773205725,300.0514218205115,396.77463295652655,1.019305942594011
15000,29.99999999999425,-542232.1229125061,101092.125,-441139.9979125061,299.47629773823917,397.1975444558132,1.0182206483608738
20000,40.00000000000292,-542378.5905332994,101276.65625,-441101.9342832994,300.02295491422603,398.2799126091437,1.0154535251192582
25000,50.00000000001514,-542350.4465701045,100654.6015625,-441695.84500760445,298.1801740368509,398.3873013076582,1.0151798009515787
30000,60.00000000002736,-541632.7565840422,101955.7421875,-439677.0143965422,302.0346857232144,398.0340017465873,1.0160808862269834
35000,70.00000000001826,-542725.9698700244,100801.796875,-441924.17299502436,298.61622686719676,397.14747215280875,1.018349025491298
40000,79.99999999999496,-542299.426121546,101432.5625,-440866.86362154596,300.4848131108388,397.49910203536473,1.017448188366381
45000,89.99999999997165,-541603.3785556718,101183.109375,-440420.2691806718,299.7458307387279,398.2313993568408,1.0155772294608683
50000,99.99999999994834,-542123.8715492324,102081.015625,-440042.8559242324,302.40579697710723,397.646964447332,1.0170698569401806
