#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,10.000000000000009,-540566.7240846301,101516.1875,-439050.53658463014,300.51048980627246,401.46398564501345,1.0081449854367885
10000,19.999999999999794,-542182.9714890094,101362.484375,-440820.48711400945,300.055494376322,399.29820601466446,1.0136131288970105
15000,29.99999999999425,-540874.9659418124,101994.59375,-438880.3721918124,301.9266786925413,397.5833320186124,1.017985089834048
20000,40.00000000000292,-541805.3336771238,101086.5,-440718.83367712377,299.2385192539048,399.75589211920595,1.0124526290679332
25000,50.00000000001514,-541816.1524201212,101100.8125,-440715.33992012125,299.28088743666734,398.50714357921316,1.015625216467509
30000,60.00000000002736,-541842.2436529938,100679.984375,-441162.2592779938,298.0351426044158,398.42683116672066,1.0158299399071529
35000,70.00000000001826,-543194.3898740425,100710.2265625,-442484.1633115425,298.1246662045652,398.34057571303083,1.0160499046249867
40000,79.99999999999496,-542445.0287880814,102556.7890625,-439888.23972558137,303.5909018365218,397.75820819792335,1.0175375281258625
45000,89.99999999997165,-542729.7953741383,101504.890625,-441224.9047491383,300.47704854411387,399.9601187611651,1.011935653022377
50000,99.99999999994834,-541441.585347218,99915.984375,-441525.600972218,295.7735327088315,398.55769566095546,1.0154963970531024
