#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,10.000000000000009,-538646.8435837827,100682.8046875,-437964.03889628267,298.3078086903677,403.2781224265061,1.0027196770962212
10000,19.999999999999794,-539999.3662542002,101401.59375,-438597.7725042002,300.4374711566697,399.4109087081229,1.0124283034917838
15000,29.99999999999425,-541689.6060618446,101667.4296875,-440022.1763743446,301.22510253258247,398.50682000033436,1.0147251901464003
20000,40.00000000000292,-542716.1857967768,101706.0859375,-441010.0998592768,301.33963511106475,398.12647798081645,1.0156945871833256
25000,50.00000000001514,-542635.8494760366,101726.421875,-440909.4276010366,301.39988739517736,398.91009119684907,1.0136993714203406
30000,60.00000000002736,-540910.5686458526,101383.875,-439526.6936458526,300.3849732003241,398.9862878844591,1.0135057794682358
35000,70.00000000001826,-542115.7898870842,101458.203125,-440657.58676208416,300.60519610890947,397.42837151864035,1.017478714854434
40000,79.99999999999496,-541125.150849509,101023.203125,-440101.94772450905,299.31635739227784,397.80215634217365,1.0165226664876332
45000,89.99999999997165,-540852.0729831504,101801.203125,-439050.86985815037,301.6214528440926,397.53218028387613,1.0172130175995164
50000,99.99999999994834,-541853.4757963745,101804.5078125,-440048.9679838745,301.63124412960144,399.9873855964581,1.010969153680874
