#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,10.000000000000009,-540585.8130640713,101313.359375,-439272.45368907135,299.93221983979174,400.1747212892769,1.0113182221650179
10000,19.999999999999794,-542220.7839486795,102053.875,-440166.90894867945,302.12447263451156,399.378745252923,1.013333815332004
15000,29.99999999999425,-541841.9464997952,101114.4453125,-440727.5011872952,299.3433464997799,400.60003012911585,1.010244526340186
20000,40.00000000000292,-542337.7634486407,100817.8359375,-441519.9275111407,298.46525195412613,399.7088346618455,1.012496979287519
25000,50.00000000001514,-543368.7802157379,102374.84375,-440993.9364657379,303.07468167190393,397.9347269173973,1.0170109827425562
30000,60.00000000002736,-542709.9576922646,101606.6328125,-441103.3248797646,300.8004385393991,397.3665211714637,1.0184652358144262
35000,70.00000000001826,-542193.6095437035,100394.59375,-441799.0157937035,297.2122684422789,398.9432276369801,1.0144400497454111
40000,79.99999999999496,-542578.8140630093,101199.875,-441378.93906300934,299.5962560466566,398.70759518139573,1.0150395743164338
45000,89.99999999997165,-541485.952063641,100940.0625,-440545.88956364105,298.82709647729826,401.2552250334357,1.0085949351959962
50000,99.99999999994834,-542567.6748495605,101500.859375,-441066.8154745605,300.48730252155144,399.14038692984764,1.0139389571739408
