#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,10.000000000000009,-539740.1634315834,101011.984375,-438728.17905658344,299.37161633552967,399.83730069219985,1.011049351604494
10000,19.999999999999794,-540951.5563426046,101838.3125,-439113.24384260457,301.820624618412,398.66677069772106,1.014017904990271
15000,29.99999999999425,-541321.3143789745,101338.375,-439982.9393789745,300.3389479800627,399.0612038529804,1.0130156469960256
20000,40.00000000000292,-541686.5412478601,101287.4765625,-440399.06468536006,300.1880990724048,398.98363214256847,1.0132126008309226
25000,50.00000000001514,-540121.5916406135,101372.640625,-438748.9510156135,300.44050182641536,398.0147915259333,1.0156789451524693
30000,60.00000000002736,-541849.8815214531,102352.265625,-439497.61589645315,303.3438396973351,397.75495507763736,1.0163424451449854
35000,70.00000000001826,-543230.1350884661,101231.296875,-441998.8382134661,300.0215979987335,397.91802824754996,1.0159259317616225
40000,79.99999999999496,-541932.4368181033,101137.390625,-440795.0461931033,299.74328581607074,398.5707141266886,1.0142622859231056
45000,89.99999999997165,-541803.8522170144,101515.96875,-440287.8834670144,300.86528679339807,397.9870801027728,1.01574966581264
50000,99.99999999994834,-541921.5627345736,101494.234375,-440427.3283595736,300.8008721101894,397.05790788889294,1.018126665104126
